url_path,views_total,views_unique
/prismaudio-official/spectral-limiter,23,2
/prismaudio-official/spectral-limiter/releases/tag/v2.1.0,12,2
/prismaudio-official/spectral-limiter/graphs/traffic,12,1
/prismaudio-official/spectral-limiter/tree/github-repo-stats,9,1
/prismaudio-official/spectral-limiter/releases/edit/v2.1.0,7,1
/prismaudio-official/spectral-limiter/releases,5,2
/prismaudio-official/spectral-limiter/actions,5,1
/prismaudio-official/spectral-limiter/blob/github-repo-stats/index.html,5,1
/prismaudio-official/spectral-limiter/pulse,5,1
/prismaudio-official/spectral-limiter/tree/main,5,1
